unit_id,spike_count,orientation,phase,spatial_frequency
951092973,311,60.0,0.25,0.08
951092437,178,90.0,0.5,0.02
951092798,194,90.0,0.5,0.02
951092940,374,90.0,0.5,0.02
951092949,362,90.0,0.5,0.02
951092973,303,90.0,0.5,0.02
951092437,291,150.0,0.5,0.08
951092798,129,150.0,0.5,0.08
951092940,363,150.0,0.5,0.08
951092949,289,150.0,0.5,0.08
951092973,321,150.0,0.5,0.08
951092437,148,0.0,0.25,0.32
951092798,89,0.0,0.25,0.32
951092940,295,0.0,0.25,0.32
951092949,223,0.0,0.25,0.32
951092973,216,0.0,0.25,0.32
951092437,176,60.0,0.0,0.32
951092798,126,60.0,0.0,0.32
951092940,350,60.0,0.0,0.32
951092949,285,60.0,0.0,0.32
951092973,239,60.0,0.0,0.32
951092437,232,0.0,0.0,0.32
951092798,107,0.0,0.0,0.32
951092940,318,0.0,0.0,0.32
951092949,249,0.0,0.0,0.32
951092973,265,0.0,0.0,0.32
951092437,139,60.0,0.5,0.32
951092798,100,60.0,0.5,0.32
951092940,340,60.0,0.5,0.32
951092949,250,60.0,0.5,0.32
951092973,199,60.0,0.5,0.32
951092437,284,30.0,0.75,0.04
951092798,55,30.0,0.75,0.04
951092940,262,30.0,0.75,0.04
951092949,253,30.0,0.75,0.04
951092973,289,30.0,0.75,0.04
951092437,154,120.0,0.0,0.32
951092798,126,120.0,0.0,0.32
951092940,288,120.0,0.0,0.32
951092949,228,120.0,0.0,0.32
951092973,202,120.0,0.0,0.32
951092437,136,120.0,0.75,0.02
951092798,116,120.0,0.75,0.02
951092940,334,120.0,0.75,0.02
951092949,358,120.0,0.75,0.02
951092973,233,120.0,0.75,0.02
951092437,142,150.0,0.25,0.32
951092798,100,150.0,0.25,0.32
951092940,337,150.0,0.25,0.32
951092949,245,150.0,0.25,0.32
951092973,204,150.0,0.25,0.32
951092437,84,90.0,0.5,0.04
951092798,355,90.0,0.5,0.04
951092940,310,90.0,0.5,0.04
951092949,345,90.0,0.5,0.04
951092973,236,90.0,0.5,0.04
951092437,233,0.0,0.0,0.16
951092798,106,0.0,0.0,0.16
951092940,333,0.0,0.0,0.16
951092949,269,0.0,0.0,0.16
951092973,348,0.0,0.0,0.16
951092437,134,30.0,0.5,0.32
951092798,95,30.0,0.5,0.32
951092940,343,30.0,0.5,0.32
951092949,257,30.0,0.5,0.32
951092973,224,30.0,0.5,0.32
951092437,138,90.0,0.25,0.02
951092798,192,90.0,0.25,0.02
951092940,341,90.0,0.25,0.02
951092949,348,90.0,0.25,0.02
951092973,218,90.0,0.25,0.02
